name,scenario,repetition,NumberofVehicles,Type,NodeID,TR,recAddress,x,y,MsgId,CH,Reroute,Speed,Hops,SumoDistance,MsgTime,DistanceToAccident,Delay
"BCN,50-,2",BCN,2,50,node,0,tx,-1,1042.3,1150.05,6336074,174,0,0,1,0.0,13.0865,0.0,0.0
"BCN,50-,1",BCN,1,50,node,0,tx,-1,1042.29,1150.05,3168027,174,0,0,1,0.0,12.4771,0.0,0.0
"BCN,200-,0",BCN,0,200,node,0,tx,-1,1042.34,1150.01,56245784,174,0,0,1,0.0,12.4527,0.0,0.0
"BCN,50-,0",BCN,0,50,node,0,tx,-1,1039.83,1152.46,5920,174,0,0,1,0.0,12.5576,0.0,0.0
"BCN,200-,2",BCN,2,200,node,0,tx,-1,1042.49,1149.86,93795832,174,0,0,1,0.0,12.76,0.0,0.0
"BCN,150-,2",BCN,2,150,node,0,tx,-1,1038.66,1153.61,47312870,174,0,0,1,0.0,12.1681,0.0,0.0
"BCN,200-,1",BCN,1,200,node,0,tx,-1,1041.83,1150.51,77189829,174,0,0,1,0.0,12.2821,0.0,0.0
"BCN,100-,0",BCN,0,100,node,0,tx,-1,1041.71,1150.63,9015077,174,0,0,1,0.0,12.659,0.0,0.0
"BCN,150-,0",BCN,0,150,node,0,tx,-1,1042.18,1150.16,25079893,174,0,0,1,0.0,12.9891,0.0,0.0
"BCN,100-,1",BCN,1,100,node,0,tx,-1,1043.6,1148.77,13444955,174,0,0,1,0.0,12.3657,0.0,0.0
"BCN,100-,2",BCN,2,100,node,0,tx,-1,1039.83,1152.46,20762704,174,0,0,1,0.0,12.953,0.0,0.0
"BCN,150-,1",BCN,1,150,node,0,tx,-1,1040.99,1151.32,35157137,174,0,0,1,0.0,13.0709,0.0,0.0
"BCN,50-,1",BCN,1,50,node,3,rx,-1,805.581,1354.06,3168027,176,0,8,1,875.3430000000001,12.4773,312.49196914640856,0.00019999999999953388
"BCN,50-,2",BCN,2,50,node,30,rx,-1,1023.28,1168.66,6336074,176,1,5,1,26.6082,13.0867,26.610007515970455,0.00020000000000131024
"BCN,200-,0",BCN,0,200,node,164,rx,-1,973.05,1160.26,56245784,176,0,0,1,608.982,12.4543,70.04403329335051,0.0015999999999998238
"BCN,100-,2",BCN,2,100,node,10,rx,-1,1021.15,1170.75,20762704,176,1,6,1,26.1379,12.9544,26.143192230483194,0.00140000000000029
"BCN,50-,0",BCN,0,50,node,15,rx,-1,1017.67,1174.15,5920,176,1,5,1,31.0112,12.5579,31.008413374437605,0.0002999999999993008
"BCN,150-,2",BCN,2,150,node,56,rx,-1,1021.57,1170.33,47312870,176,1,6,1,23.9096,12.1683,23.908711801349774,0.00019999999999953388
"BCN,100-,0",BCN,0,100,node,30,rx,-1,1016.19,1175.6,9015077,176,1,4,1,35.705999999999996,12.6592,35.70393955854156,0.00019999999999953388
"BCN,150-,1",BCN,1,150,node,81,rx,-1,1026.64,1165.37,35157137,176,1,5,1,20.0864,13.0711,20.082952970118615,0.00019999999999953388
"BCN,200-,1",BCN,1,200,node,113,rx,-1,1024.66,1167.31,77189829,176,1,6,1,24.0197,12.2823,24.02184214418189,0.00019999999999953388
"BCN,150-,0",BCN,0,150,node,88,rx,-1,1019.0,1172.85,25079893,176,1,3,1,32.4334,12.9893,32.43683862524206,0.00019999999999953388
"BCN,100-,1",BCN,1,100,node,56,rx,-1,1017.57,1174.25,13444955,176,1,5,1,36.4296,12.3659,36.42514653367908,0.00019999999999953388
"BCN,200-,2",BCN,2,200,node,122,rx,-1,1020.44,1171.44,93795832,176,1,4,1,30.8613,12.7603,30.852858862672754,0.0003000000000010772
"BCN,200-,2",BCN,2,200,node,28,rx,-1,1010.42,1181.22,93795832,176,1,3,1,44.8609,12.7603,44.85459285290651,0.0003000000000010772
"BCN,150-,1",BCN,1,150,node,15,rx,-1,1010.04,1163.81,35157137,176,0,7,1,1914.24,13.0711,33.375179400266944,0.00019999999999953388
"BCN,50-,0",BCN,0,50,node,16,rx,-1,1009.13,1164.71,5920,176,0,6,1,1913.9,12.5579,33.05378193187575,0.0002999999999993008
"BCN,200-,1",BCN,1,200,node,62,rx,-1,1009.81,1181.83,77189829,176,1,2,1,44.7931,12.2823,44.79087853570183,0.00019999999999953388
"BCN,200-,0",BCN,0,200,node,137,rx,-1,1091.42,1097.33,56245784,176,0,4,1,442.624,12.4543,72.00019999972237,0.0015999999999998238
"BCN,100-,2",BCN,2,100,node,53,rx,-1,1001.76,1172.02,20762704,176,0,3,1,1924.27,12.9544,42.80091704625023,0.00140000000000029
"BCN,150-,0",BCN,0,150,node,60,rx,-1,1010.74,1180.92,25079893,176,1,3,1,43.9882,12.9893,43.984670056736846,0.00019999999999953388
"BCN,100-,0",BCN,0,100,node,86,rx,-1,1005.93,1185.61,9015077,176,1,2,1,50.0383,12.6592,50.03807350408278,0.00019999999999953388
"BCN,50-,1",BCN,1,50,node,3,tx,-1,816.578,1340.06,3168027,176,0,10,1,856.24,14.4746,295.04187337393313,1.9975000000000005
"BCN,150-,2",BCN,2,150,node,6,rx,-1,1001.99,1171.8,47312870,176,0,3,1,1922.32,12.1683,40.93366585098392,0.00019999999999953388
"BCN,100-,1",BCN,1,100,node,30,rx,-1,1006.64,1167.18,13444955,176,0,3,1,1922.68,12.3659,41.29127874018916,0.00019999999999953388
"BCN,50-,2",BCN,2,50,node,38,rx,-1,967.7819999999999,1154.89,6336074,176,0,3,1,601.4019999999999,13.0867,74.67501539336972,0.00020000000000131024
"BCN,100-,1",BCN,1,100,node,13,rx,-1,1072.79,1077.93,13444955,176,0,0,1,471.43699999999995,12.3659,76.61828567646232,0.00019999999999953388
"BCN,50-,0",BCN,0,50,node,42,rx,-1,994.988,1178.74,5920,176,0,0,1,1933.81,12.5579,51.975411147964834,0.0002999999999993008
"BCN,200-,2",BCN,2,200,node,170,rx,-1,1003.59,1187.89,93795832,176,1,0,1,54.4082,12.7603,54.4012031116961,0.0003000000000010772
"BCN,200-,1",BCN,1,200,node,58,rx,-1,1001.76,1172.02,77189829,176,0,3,1,1927.06,12.2823,45.47840146706999,0.00019999999999953388
"BCN,150-,2",BCN,2,150,node,105,rx,-1,1008.22,1183.37,47312870,176,1,4,1,42.5814,12.1683,42.5705438067216,0.00019999999999953388
"BCN,150-,0",BCN,0,150,node,45,rx,-1,1072.73,1077.87,25079893,176,0,0,1,469.54699999999997,12.9893,78.48023063166943,0.00019999999999953388
"BCN,100-,2",BCN,2,100,node,73,rx,-1,897.5419999999999,1293.93,20762704,176,1,1,1,201.15599999999998,12.9544,200.64803972129909,0.00140000000000029
"BCN,50-,2",BCN,2,50,node,20,rx,-1,845.12,1345.3,6336074,176,0,8,1,278.122,13.0867,277.49327000848143,0.00020000000000131024
"BCN,200-,0",BCN,0,200,node,120,rx,-1,966.315,1162.81,56245784,176,0,3,1,606.091,12.4543,77.095010376807,0.0015999999999998238
"BCN,100-,0",BCN,0,100,node,75,rx,-1,970.05,1157.2,9015077,176,0,2,1,603.813,12.6592,71.96054821914582,0.00019999999999953388
"BCN,150-,1",BCN,1,150,node,19,rx,-1,1012.26,1179.44,35157137,176,0,4,1,40.2076,13.0711,40.20133455496232,0.00019999999999953388
"BCN,100-,2",BCN,2,100,node,6,rx,-1,884.215,1302.3,20762704,176,0,8,1,216.639,12.9544,216.02790057073634,0.00140000000000029
"BCN,200-,1",BCN,1,200,node,168,rx,-1,1003.59,1187.89,77189829,176,1,0,1,53.4773,12.2823,53.47487260386882,0.00019999999999953388
